timestamp,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,price_change_pct,vol_avg_24h,volatility_24h
2026-02-18 00:00:00,67392.06,68158.1,67317.6,67517.36,1448.76651,98171812.0719312,587663,717.80704,48651666.9823193,0.1859,1448.7665,0
2026-02-18 01:00:00,67517.36,67714.28,66881.08,67244.22,1144.38591,76949907.5918262,403692,494.53644,33249478.3625689,-0.4045,1296.5762,0
2026-02-18 02:00:00,67244.22,68227.41,67127.86,68098.62,824.93415,55916646.6418171,358582,468.34635,31774680.7136281,1.2706,1139.3622,0.8376
2026-02-18 03:00:00,68098.63,68235.39,67695.45,67793.32,785.88027,53420813.4007667,260283,434.11912,29530947.5315397,-0.4483,1050.9917,0.8002
2026-02-18 04:00:00,67793.32,67928.08,67484.16,67753.3,471.88623,31941730.6724797,221730,201.01181,13607719.6638029,-0.059,935.1706,0.6983
2026-02-18 05:00:00,67753.3,67926.29,67538.0,67680.54,253.25027,17137159.7114029,110474,118.57698,8025297.2044127,-0.1074,821.5172,0.6295
2026-02-18 06:00:00,67680.55,67788.42,67513.42,67527.72,176.97341,11969671.9152393,78072,92.46528,6255196.1449205,-0.2258,729.4395,0.5838
2026-02-18 07:00:00,67527.72,67617.46,67394.0,67503.52,240.26836,16215819.393622,111264,115.01034,7761921.0793094,-0.0358,668.2931,0.5407
2026-02-18 08:00:00,67503.52,67627.97,67290.3,67302.65,186.99827,12615533.5074918,109042,74.58903,5032924.5437478,-0.2976,614.8159,0.5152
2026-02-18 09:00:00,67302.65,67378.26,66892.03,67165.2,545.6883,36620759.6061635,175124,268.86622,18041807.2218896,-0.2042,607.9032,0.4885
2026-02-18 10:00:00,67165.21,67421.99,67153.36,67335.04,250.64041,16870373.5460907,114532,129.39207,8709465.8079853,0.2529,575.4247,0.4726
2026-02-18 11:00:00,67335.04,67705.65,67326.98,67629.11,243.56061,16446761.117609,96356,123.95935,8371503.5978181,0.4367,547.7694,0.4699
2026-02-18 12:00:00,67629.1,67900.0,67500.1,67823.54,328.68469,22243476.5194203,91762,191.77327,12980371.915418,0.2875,530.9167,0.4561
2026-02-18 13:00:00,67823.55,67938.0,67606.45,67654.8,311.88419,21128145.6625766,104644,152.69595,10342542.8073675,-0.2488,515.2715,0.4448
2026-02-18 14:00:00,67654.81,67976.51,67614.91,67850.52,264.75627,17960360.6023001,92905,166.27796,11280352.1311913,0.2893,498.5705,0.4344
2026-02-18 15:00:00,67850.53,68219.81,67702.7,68106.44,528.49446,35941990.7737978,122071,325.6069,22143426.5146986,0.3772,500.4408,0.4282
2026-02-18 16:00:00,68106.44,68476.22,68071.58,68132.82,532.69792,36350615.4462983,171158,288.11029,19662145.4797807,0.0387,502.3382,0.4146
2026-02-18 17:00:00,68132.83,68276.0,68010.11,68157.79,339.37122,23135663.3989537,105396,148.8863,10150776.8044821,0.0366,493.2845,0.4022
2026-02-18 18:00:00,68157.8,68184.41,67731.95,67801.26,395.11187,26850923.4298862,110050,151.21233,10277000.0696782,-0.5231,488.1175,0.4128
2026-02-18 19:00:00,67801.26,67805.08,67076.9,67369.75,654.97357,44120793.5485731,216504,359.57958,24214540.1715609,-0.6364,496.4603,0.428
2026-02-18 20:00:00,67369.75,67689.76,67345.0,67458.06,459.50762,31028771.5022215,157581,205.73689,13893328.0239445,0.1311,494.7007,0.4183
2026-02-18 21:00:00,67458.06,67599.7,67051.81,67236.88,549.44565,36995316.4017249,156706,288.60377,19436152.3531659,-0.3279,497.1891,0.4141
2026-02-18 22:00:00,67236.89,67362.26,66717.3,67223.76,1553.71672,104276330.1084077,415141,811.57233,54483778.2356013,-0.0195,543.1251,0.4045
2026-02-18 23:00:00,67223.77,68347.72,67192.25,67694.01,1767.46696,119790602.6455788,452220,963.06724,65254401.0405768,0.6995,594.1393,0.4219
2026-02-19 00:00:00,67694.01,67706.94,66994.23,67145.34,1029.31402,69182274.9522576,347519,529.17055,35564992.7051064,-0.8105,576.6621,0.4445
2026-02-19 01:00:00,67145.35,67486.97,67057.13,67187.39,676.97648,45471383.8174114,221841,422.82147,28397976.7586609,0.0626,557.1867,0.4375
2026-02-19 02:00:00,67187.4,67229.76,66200.0,66359.99,1304.49131,86893863.6723797,337519,557.94187,37162376.6968097,-1.2315,577.1683,0.4195
2026-02-19 03:00:00,66360.0,66619.0,65870.0,66177.14,1301.14212,86145711.7909713,399451,560.08076,37104362.7546133,-0.2756,598.6375,0.415
2026-02-19 04:00:00,66177.15,66550.0,66141.9,66268.39,682.91387,45289999.4612853,227539,350.55167,23249010.8384171,0.1379,607.4304,0.4177
2026-02-19 05:00:00,66268.4,66504.2,66053.6,66342.76,909.37392,60316585.3718223,143428,430.46357,28548205.1733241,0.1122,634.7688,0.4196
2026-02-19 06:00:00,66342.76,66477.7,66232.02,66408.82,352.09134,23364113.1423173,85916,208.20588,13814890.7038734,0.0996,642.0654,0.42
2026-02-19 07:00:00,66408.83,66502.49,66275.71,66461.0,323.1366,21453174.6265847,94592,185.89182,12341845.7888534,0.0786,645.5183,0.421
2026-02-19 08:00:00,66461.0,66597.03,66345.0,66446.49,297.42224,19768270.2570895,96766,170.61261,11339932.9063941,-0.0218,650.1193,0.4182
2026-02-19 09:00:00,66446.49,66884.16,66446.48,66866.62,415.14671,27693425.9698678,120546,249.97778,16673952.880401,0.6323,644.68,0.4385
2026-02-19 10:00:00,66866.63,66958.9,66639.99,66835.2,362.58869,24221979.0763845,109716,178.55376,11927292.0282124,-0.047,649.3445,0.4349
2026-02-19 11:00:00,66835.2,66997.07,66727.27,66980.91,262.07528,17531802.1213818,84192,130.37981,8722666.1018402,0.218,650.116,0.4272
2026-02-19 12:00:00,66980.91,67070.56,66759.0,66802.75,389.01702,26030073.5866599,96372,210.35619,14076278.4859638,-0.266,652.6298,0.4239
2026-02-19 13:00:00,66802.74,66893.06,66679.76,66871.35,253.79395,16948445.6870005,107077,108.91988,7274275.849878,0.1027,650.2094,0.4233
2026-02-19 14:00:00,66871.34,67290.4,66865.43,67150.12,468.59633,31435110.6806659,121623,216.50408,14528145.5203052,0.4169,658.7027,0.4282
2026-02-19 15:00:00,67150.12,67320.0,67028.7,67206.45,481.75258,32368777.8469835,115478,257.44479,17297228.3880647,0.0839,656.7552,0.4202
2026-02-19 16:00:00,67206.45,67206.45,66785.56,66966.12,559.76369,37500641.9084665,153588,214.64724,14374468.9622949,-0.3576,657.8829,0.424
2026-02-19 17:00:00,66966.12,67191.83,66754.23,66836.0,463.29328,31026826.6742094,150421,197.28653,13215112.7086151,-0.1943,663.0463,0.4241
2026-02-19 18:00:00,66836.01,66958.4,66741.77,66843.08,368.25421,24621292.144488,138468,178.41529,11928186.71502,0.0106,661.9273,0.4141
2026-02-19 19:00:00,66843.08,66936.42,66478.02,66496.02,488.02461,32553190.9142174,123820,174.07619,11611255.9188242,-0.5192,654.971,0.4079
2026-02-19 20:00:00,66496.03,66680.7,66325.34,66516.67,484.41025,32229441.3476383,158343,264.96152,17630606.6895998,0.031,656.0087,0.4065
2026-02-19 21:00:00,66516.67,66556.59,65763.0,65913.37,1377.50527,91076471.9692439,344861,621.78212,41110616.2313904,-0.907,690.5111,0.4378
2026-02-19 22:00:00,65913.38,66662.3,65631.83,66421.2,1506.37269,99640891.2550958,539424,759.20707,50219788.8846536,0.7704,688.5385,0.4698
2026-02-19 23:00:00,66421.2,66755.39,65966.0,66398.0,1083.30553,71830366.6870001,466811,576.39327,38219092.8287284,-0.0349,660.0317,0.4432
2026-02-20 00:00:00,66398.01,66514.95,65899.25,66293.53,940.96239,62339504.698632,348109,470.05324,31136451.7257804,-0.1574,656.3504,0.4168
2026-02-20 01:00:00,66293.53,67049.99,66173.15,66369.42,899.04062,59887417.1161086,322744,461.23271,30735147.8087894,0.1145,665.6031,0.4175
2026-02-20 02:00:00,66369.42,67073.13,66228.49,67030.49,865.51701,57796080.4208611,305128,474.60913,31691243.1850845,0.996,647.3125,0.3914
2026-02-20 03:00:00,67030.5,67198.1,66700.0,67050.0,706.47789,47303560.6535252,253657,350.37677,23463503.3337205,0.0291,622.5348,0.3857
2026-02-20 04:00:00,67050.0,67166.98,66823.03,67149.11,444.88336,29818017.1340549,176491,218.71227,14661396.6225823,0.1478,612.6169,0.3858
2026-02-20 05:00:00,67149.11,67168.86,66900.92,66916.51,265.40447,17788961.5150816,100053,136.89365,9175588.4215856,-0.3464,585.7848,0.3938
2026-02-20 06:00:00,66916.51,67000.0,66652.34,66915.14,854.02212,57062680.9857794,135345,330.68106,22094084.4653194,-0.002,606.6986,0.3937
2026-02-20 07:00:00,66915.15,67023.61,66814.76,67003.73,304.63969,20390342.131717,110318,154.63045,10349906.4090592,0.1324,605.9279,0.3941
2026-02-20 08:00:00,67003.73,67486.62,66949.41,67228.91,595.00262,40022489.5393102,178821,348.23317,23424979.4705277,0.3361,618.3271,0.3984
2026-02-20 09:00:00,67228.91,67355.79,67150.0,67279.9,313.31598,21074433.2364037,112851,155.36229,10450299.2875819,0.0758,614.0841,0.3796
2026-02-20 10:00:00,67279.91,67347.76,67181.28,67242.03,232.09759,15614839.0918362,74836,99.60613,6701152.097878,-0.0563,608.647,0.3796
2026-02-20 11:00:00,67242.03,67488.67,67241.24,67366.25,332.50492,22398832.0958501,93214,162.84419,10970597.4536144,0.1847,611.5816,0.379
2026-02-20 12:00:00,67366.25,67402.23,67115.38,67264.83,362.39174,24377152.5494792,103295,152.50473,10258435.3982652,-0.1506,610.4722,0.376
2026-02-20 13:00:00,67264.83,68006.0,67203.19,67790.1,1107.38598,75000976.3491005,167412,669.31185,45339891.2399562,0.7809,646.0385,0.4048
2026-02-20 14:00:00,67790.11,67894.2,67660.12,67847.47,482.66553,32722188.0145218,116908,197.64457,13402045.4392423,0.0846,646.6248,0.3979
2026-02-20 15:00:00,67847.47,67990.0,67767.4,67825.91,459.03505,31160035.9162284,101693,243.62231,16537846.3946126,-0.0318,645.6782,0.3981
2026-02-20 16:00:00,67825.91,67950.85,67747.33,67879.99,290.00035,19674383.3965216,78412,139.63955,9473558.6755641,0.0797,634.438,0.3895
2026-02-20 17:00:00,67879.99,68230.01,67879.99,68218.85,996.7879,67923220.9147572,158380,601.71985,40993299.1437344,0.4992,656.667,0.3954
2026-02-20 18:00:00,68218.85,68318.39,67843.42,67948.99,638.74258,43509991.6746788,139500,243.19302,16572343.7058681,-0.3956,667.9373,0.4068
2026-02-20 19:00:00,67948.99,67983.91,67280.6,67318.41,1489.10389,100771194.4243672,165055,485.85945,32888267.8759926,-0.928,709.649,0.4384
2026-02-20 20:00:00,67318.41,67594.0,67276.41,67541.77,603.15784,40673530.4172987,126474,277.43862,18712645.4215856,0.3318,714.5968,0.4419
2026-02-20 21:00:00,67541.78,67541.78,66280.2,66801.62,7078.59491,472253687.9468413,454409,2119.20607,141479095.3680397,-1.0959,952.1422,0.4604
2026-02-20 22:00:00,66801.62,67317.5,66532.87,67069.65,5263.48808,351827433.3575017,410056,1855.50254,124130978.5892692,0.4012,1108.6887,0.4422
2026-02-20 23:00:00,67069.65,68083.98,66536.64,67582.95,3143.21056,211814571.1295458,714853,1772.53337,119461196.668753,0.7653,1194.518,0.4647
2026-02-21 00:00:00,67582.95,67921.7,67283.24,67795.47,1312.90303,88816721.1589468,375856,707.32696,47859565.2360373,0.3145,1210.0156,0.4645
2026-02-21 01:00:00,67795.48,67795.48,66952.11,67613.37,6085.1555,408873497.9426541,484654,1945.93461,130843274.9492769,-0.2686,1426.1037,0.4701
2026-02-21 02:00:00,67613.38,68000.0,67466.11,67924.21,1321.6326,89503419.244067,343806,786.7587,53289293.1384073,0.4597,1445.1085,0.4375
2026-02-21 03:00:00,67924.22,68000.0,67548.85,67646.03,854.45567,57862470.8173443,191461,482.35593,32662599.7810234,-0.4096,1451.2742,0.4473
2026-02-21 04:00:00,67646.03,67885.55,67520.3,67750.4,685.93834,46455639.6891256,145535,468.20153,31713251.7324231,0.1543,1461.3182,0.4474
2026-02-21 05:00:00,67750.4,67840.0,67639.29,67825.87,451.92527,30617763.5939987,85988,292.40619,19810205.9044779,0.1114,1469.0899,0.4403
2026-02-21 06:00:00,67825.87,68116.6,67639.31,68078.13,669.63597,45477160.748621,126846,420.74064,28579230.4329588,0.3719,1461.4071,0.4445
2026-02-21 07:00:00,68078.13,68233.99,67914.0,68020.01,582.73901,39653517.3188474,94597,373.51407,25415989.7401516,-0.0854,1472.9946,0.4454
2026-02-21 08:00:00,68020.0,68051.16,67787.19,67841.0,537.54494,36503123.1142353,75978,269.29884,18290386.2004525,-0.2632,1470.6006,0.4463
2026-02-21 09:00:00,67841.0,68005.99,67841.0,67951.24,250.62697,17018896.0981025,49808,169.25187,11492524.521719,0.1625,1467.9885,0.4469
2026-02-21 10:00:00,67951.25,68099.54,67913.3,68001.05,224.56497,15273167.6212178,46942,135.36924,9205980.7200145,0.0733,1467.6746,0.4465
2026-02-21 11:00:00,68001.04,68001.04,67534.69,67667.77,569.35853,38568911.2954951,89390,239.29104,16208369.6881893,-0.4901,1477.5436,0.4581
2026-02-21 12:00:00,67667.77,67846.88,67593.99,67816.97,228.62441,15476797.7569085,54930,137.21523,9289570.3993341,0.2205,1471.9699,0.4583
2026-02-21 13:00:00,67816.98,67888.4,67799.7,67851.93,141.24714,9583260.4722714,38996,74.53693,5057273.6802161,0.0515,1431.7141,0.4312
2026-02-21 14:00:00,67851.93,67924.39,67750.96,67793.38,228.15051,15479586.4501597,43150,106.8318,7248873.0406117,-0.0863,1421.1093,0.4313
2026-02-21 15:00:00,67793.39,67884.74,67749.59,67856.01,118.21011,8019341.9967608,29901,47.02708,3190233.0947628,0.0924,1406.9083,0.4316
2026-02-21 16:00:00,67856.01,68079.41,67807.3,68055.03,293.16321,19924434.137958,49379,144.5521,9825653.8205495,0.2933,1407.0401,0.4353
2026-02-21 17:00:00,68055.04,68314.54,67978.9,68147.53,599.79254,40896879.3832183,81854,339.41056,23144986.7058634,0.1359,1390.4986,0.4243
2026-02-21 18:00:00,68147.54,68250.0,68139.65,68215.54,212.21766,14472075.0922083,51695,119.84701,8172946.5746401,0.0998,1372.7267,0.4167
2026-02-21 19:00:00,68215.55,68283.34,68084.0,68092.45,279.32431,19046317.1113686,65994,131.67425,8978584.9496629,-0.1805,1322.3193,0.3702
2026-02-21 20:00:00,68092.45,68218.2,67915.0,68203.42,307.88407,20948027.6138591,67237,131.56462,8953230.2707026,0.163,1310.0162,0.3663
2026-02-21 21:00:00,68203.42,68260.0,68106.89,68259.99,202.25945,13792714.4828962,55923,101.58287,6927879.1738677,0.0829,1023.5022,0.2792
2026-02-21 22:00:00,68259.99,68644.0,68180.53,68450.01,880.51744,60288723.1540272,133782,469.31037,32130760.6913499,0.2784,840.8784,0.2746
2026-02-21 23:00:00,68450.01,68698.7,68417.0,68615.0,427.6444,29312462.7447591,88325,241.61513,16561413.9728736,0.241,727.7298,0.238
2026-02-22 00:00:00,68615.01,68630.76,68101.78,68322.6,658.4992,44974618.7944532,120356,324.1624,22134659.4230727,-0.4262,700.463,0.2511
2026-02-22 01:00:00,68322.61,68474.01,68200.0,68437.45,212.23015,14503939.3377244,68453,107.66631,7358350.2812262,0.1681,455.7578,0.2444
2026-02-22 02:00:00,68437.45,68644.0,68383.08,68574.0,320.28262,21949099.1093757,61749,156.57328,10730308.7222691,0.1995,414.0349,0.2314
2026-02-22 03:00:00,68573.99,68658.5,68528.6,68575.65,106.00145,7271365.7072424,22036,42.66795,2927276.3440399,0.0024,382.8493,0.2119
