open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,price_volatility,volume_ma,price_change_pct,hl_range,true_range,atr,buy_pressure
2025-02-24,167.94,179.85,125.55,178.71,57102095.795,2025-03-02 23:59:59.999,8376194507.22596,28665318,28216511.368,4149995910.32538,0,,,,43.24970131421744,54.3,,49.41414316787775
2025-03-03,178.72,179.47,125.41,126.51,44145860.436,2025-03-09 23:59:59.999,6399199056.53472,23959697,21474114.568,3113706111.31535,0,,,-29.209333557159646,43.10661031815645,54.06,,48.64355197953809
2025-03-10,126.52,136.71,112.0,126.13,28614538.169,2025-03-16 23:59:59.999,3594927010.94179,14067945,14146830.663,1778892546.749,0,,,-0.30037151213343494,22.062500000000007,24.710000000000008,,49.439311511678305
2025-03-17,126.13,136.12,121.76,132.84,18315263.3,2025-03-23 23:59:59.999,2356392247.52478,8447013,8960319.169,1153247086.34663,0,,,5.319908031396192,11.793692509855452,14.36,,48.922688264055694
2025-03-24,132.85,147.48,122.68,124.82,21895808.461,2025-03-30 23:59:59.999,2985762637.82088,10599602,10703491.823,1459876889.25565,0,,,-6.037338151159299,20.215194000652087,24.799999999999983,,48.88374796511699
2025-03-31,124.83,136.21,103.81,105.91,31868483.264,2025-04-06 23:59:59.999,3840482790.6760097,13781069,15553464.962,1875852258.18131,0,,,-15.149815734657901,31.210866005201815,32.400000000000006,,48.805162244950196
2025-04-07,105.9,134.11,95.26,128.38,46389408.89,2025-04-13 23:59:59.999,5235950669.9522705,19572856,22902620.962,2588861800.51454,0,,,21.216126900198272,40.78311988242705,38.85000000000001,,49.37036601675051
2025-04-14,128.38,141.96,123.49,137.86,25590441.216,2025-04-20 23:59:59.999,3398869695.64565,13432861,12795013.619,1699611150.93245,0,,,7.384327776912314,14.956676653980091,18.470000000000013,,49.99919114720121
2025-04-21,137.86,157.0,133.82,147.98,25666600.737,2025-04-27 23:59:59.999,3774789315.8448,13429824,12792493.632,1881351042.45334,0,,,7.340780501958499,17.32177551935436,23.180000000000007,,49.84101230654524
2025-04-28,147.97,153.99,140.32,143.95,17061245.94,2025-05-04 23:59:59.999,2528838167.78632,9702405,8461639.306,1254995404.00546,0,,,-2.7233409920259466,9.742018244013694,13.670000000000016,,49.5956704203046
2025-05-05,143.94,180.26,141.41,173.19,25733500.986,2025-05-11 23:59:59.999,4144902434.01582,15206464,13390260.232,2155449568.95663,0,,,20.31260854463357,27.473304575348273,38.849999999999994,,52.03435101692852
2025-05-12,173.2,184.88,164.01,173.3,26221088.665,2025-05-18 23:59:59.999,4556279080.96239,18583015,13071049.671,2273239915.93983,0,,,0.063514059703218,12.724833851594418,20.870000000000005,,49.84937825425717
2025-05-19,173.3,187.71,159.44,175.74,26181846.088,2025-05-25 23:59:59.999,4533886048.38532,18776463,13047065.142,2260610830.34829,0,,,1.4079630698211165,17.730807827395893,28.27000000000001,,49.832487358406325
2025-05-26,175.75,179.41,150.59,157.68,18124353.314,2025-06-01 23:59:59.999,3021342305.47234,13903309,8694882.47,1450371821.41336,0,,,-10.2765448958689,19.13805697589481,28.819999999999993,,47.97347700832842
2025-06-02,157.68,163.64,141.53,152.45,16740320.93,2025-06-08 23:59:59.999,2558917471.42516,11855083,8151931.834,1246428724.45615,0,,,-3.316844241501782,15.622129583833805,22.109999999999985,,48.696389203573055
2025-06-09,152.45,168.36,140.21,152.97,23423966.262,2025-06-15 23:59:59.999,3615963922.6464496,15903159,11638896.645,1798240814.34486,0,,,0.3410954411282363,20.077027316168607,28.150000000000006,,49.687984156130874
2025-06-16,152.97,158.8,126.0,131.71,22526961.728,2025-06-22 23:59:59.999,3238486450.56368,15061134,10689219.766,1535872781.59911,0,,,-13.898149964045237,26.03174603174604,32.80000000000001,,47.45078317735934
2025-06-23,131.71,154.77,130.68,153.32,19350776.608,2025-06-29 23:59:59.999,2775834561.02096,11915903,9711856.485,1394274394.05929,0,,,16.407258370662813,18.434343434343436,24.090000000000003,,50.18845848793957
2025-06-30,153.32,159.99,144.85,151.86,17949955.307,2025-07-06 23:59:59.999,2715563804.32416,10018975,8881211.72,1344047596.6933,0,,,-0.9522567179754637,10.452191922678644,15.140000000000015,,49.47762581078164
2025-07-07,151.86,168.2,147.7,161.15,19550336.649,2025-07-13 23:59:59.999,3088870995.03785,11724992,9713841.076,1535163176.61843,0,19.950221763706107,26622642.63725,6.117476623205587,13.87948544346649,20.5,27.920000000000005,49.686311035962966
2025-07-14,161.15,184.67,157.23,181.43,28096869.227,2025-07-20 23:59:59.999,4840911627.940351,16950523,14019142.931,2418850368.70376,0,20.18690218929096,25172381.308849998,12.584548557244801,17.45214017681104,27.439999999999998,26.577000000000005,49.89574752167813
2025-07-21,181.44,206.3,175.63,188.64,34384561.17,2025-07-27 23:59:59.999,6572625105.60212,22149510,16966072.122,3245711939.19933,0,21.605124507856928,24684316.34555,3.9739844568152938,17.46284803279623,30.670000000000016,25.407500000000006,49.34212200097129
2025-07-28,188.64,195.26,155.83,161.97,21355489.834,2025-08-03 23:59:59.999,3732697835.17506,15445146,10046937.475,1754101350.2774,0,20.993019359827805,24321363.9288,-14.138040712468191,25.303215042032967,39.42999999999998,26.143500000000007,47.046157934548084
2025-08-04,161.98,186.18,161.13,182.66,21257648.92,2025-08-10 23:59:59.999,3696908361.82637,13840170,10679348.487,1857828043.39253,0,21.56563720732347,24468483.209799998,12.77397048836204,15.546453174455415,25.05000000000001,26.678000000000004,50.237674576290814
2025-08-11,182.67,209.86,173.43,190.99,33871086.681,2025-08-17 23:59:59.999,6508790061.62038,21068113,16779852.118,3225191383.51012,0,21.870673972239615,25067247.1208,4.560385415526125,21.005593034653756,36.43000000000001,27.259500000000003,49.54034181434358
2025-08-18,191.0,211.99,175.69,205.98,31562042.319,2025-08-24 23:59:59.999,6087339544.22375,20891663,15949686.052,3079470678.16811,0,20.831228196097644,25051925.073549997,7.848578459605204,20.661392224941665,36.30000000000001,27.454500000000003,50.53439156691854
2025-08-25,205.99,218.0,185.33,200.62,43575253.635,2025-08-31 23:59:59.999,8891369665.40579,26313976,21832082.914,4462038363.63076,0,20.837341702110777,24911217.3108,-2.602194387804635,17.628014892354173,32.66999999999999,27.145500000000006,50.10202142911749
2025-09-01,200.62,213.02,194.19,206.35,23969783.297,2025-09-07 23:59:59.999,4897766679.27726,13561060,11953991.751,2445526021.29369,0,21.538329627849347,24830184.41485,2.8561459475625606,9.696688809928428,18.830000000000013,27.1635,49.87108812325447
2025-09-08,206.35,249.6,205.59,239.76,33248012.185,2025-09-14 23:59:59.999,7563844660.30472,16181618,17593053.579,3998558979.35644,0,25.985938181214326,25209254.98725,16.19093772716258,21.406683204436007,44.00999999999999,28.205000000000005,52.91460277717653
2025-09-15,239.75,253.51,230.15,236.16,22931549.969,2025-09-21 23:59:59.999,5488035470.53707,13210586,11767386.048,2818276194.68634,0,28.389300667124903,25502770.188699998,-1.501501501501501,10.149902237671077,23.359999999999985,28.6895,51.315266800141
2025-09-22,236.16,236.96,190.8,210.83,30396613.351,2025-09-28 23:59:59.999,6329097164.03788,16333439,15247250.385,3176270033.32839,0,29.22637710500923,25735925.80695,-10.725779132791324,24.192872117400416,46.16,29.055000000000007,50.161016982171105
2025-09-29,210.83,237.22,204.29,228.56,24276493.39,2025-10-05 23:59:59.999,5385062813.45401,14461192,12301633.441,2727905337.87885,0,31.038093449823833,25638696.043199997,8.409619124413027,16.11924225365902,32.93000000000001,29.657999999999998,50.673024490708784
2025-10-06,228.56,237.79,168.79,197.0,37161910.606,2025-10-12 23:59:59.999,7598396043.18252,25355574,17660014.237,3601742595.81859,0,31.120791911687007,26187699.269100003,-13.808190409520481,40.87919900468037,69.0,31.694499999999998,47.52181453810583
2025-10-13,196.99,211.25,174.06,187.86,35068840.06,2025-10-19 23:59:59.999,6784699280.269791,23891459,17362397.918,3359765346.38719,0,30.471469015250403,27034923.6064,-4.639593908629436,21.366195564747787,37.19,32.113,49.50947304870739
2025-10-20,187.86,202.43,177.04,200.03,22869399.644,2025-10-26 23:59:59.999,4343996272.55042,14480721,11173345.432,2123607748.67472,0,29.548303874200663,27341377.5421,6.478228468008074,14.34139177586987,25.390000000000015,32.277,48.8571873592293
2025-10-27,200.03,205.33,178.65,187.71,23959402.057,2025-11-02 23:59:59.999,4622381200.76224,16030680,11498816.967,2217440063.36996,0,28.346877573339384,27368149.33185,-6.159076138579211,14.934228939266724,26.680000000000007,32.203500000000005,47.992921274262336
2025-11-03,187.71,189.13,145.85,164.53,33791270.43,2025-11-09 23:59:59.999,5448695006.58631,23136016,16604747.243,2675523844.43827,0,25.59753143422842,27931364.76695,-12.348835970379845,29.67432293452177,43.28,32.7275,49.13916236856917
2025-11-10,164.53,171.94,134.42,137.17,29801797.956,2025-11-16 23:59:59.999,4504204048.03613,19454993,14115311.281,2129654904.01119,0,27.088938527124174,28453915.834349997,-16.629186166656538,27.912513018896007,37.52000000000001,33.39900000000001,47.36395871765905
2025-11-17,137.17,144.8,121.66,130.58,36187379.595,2025-11-23 23:59:59.999,4840141358.65159,21773104,18083149.828,2419193564.60331,0,29.056276955699474,29365787.048750002,-4.804257490704944,19.02022028604308,23.140000000000015,33.799,49.97087390792603
2025-11-24,130.58,144.75,128.44,133.48,22063209.289,2025-11-30 23:59:59.999,3038762846.17288,11444007,10441294.473,1438575552.21143,0,31.08979227893563,29491430.68075,2.220860775003808,12.698536281532235,16.310000000000002,33.5895,47.324459176506515
2025-12-01,133.48,146.91,123.11,132.24,24519506.915,2025-12-07 23:59:59.999,3303691978.02061,13614095,12193181.064,1642933152.02261,0,33.53749769405798,29312562.56515,-0.9289781240635175,19.33230444318089,23.799999999999997,33.407500000000006,49.72849211963853
2025-12-08,132.25,144.93,127.98,129.4,23861271.406,2025-12-14 23:59:59.999,3235485639.53849,13264946,11729094.273,1591299586.64099,0,35.84331081982123,28786398.076950002,-2.147610405323652,13.244256915142994,16.950000000000003,32.721500000000006,49.155361730015265
2025-12-15,129.39,135.43,116.88,126.03,23255595.589,2025-12-21 23:59:59.999,2928184654.65915,12168125,11620771.476,1462684484.29072,0,37.81032734166961,28881403.3647,-2.6043276661514736,15.870978781656412,18.55000000000001,31.677500000000002,49.96978654675555
2025-12-22,126.03,128.78,119.24,125.27,15044674.789,2025-12-28 23:59:59.999,1861719170.07168,6229085,7693547.82,952067582.5452099,0,39.83304669756664,28570754.65815,-0.6030310243592796,8.000670915800074,9.540000000000006,30.901999999999997,51.13801346922554
2025-12-29,125.27,135.54,122.36,134.12,17717655.241,2026-01-04 23:59:59.999,2259510903.53155,6841802,8981746.758,1145469457.9763,0,40.911819730784515,27763083.086149998,7.0647401612516925,10.771493952271978,13.179999999999993,29.739500000000003,50.69376639192953
2026-01-05,134.12,143.48,132.67,139.7,19523740.82,2026-01-11 23:59:59.999,2688956539.40958,9327759,9920865.865,1366865824.67333,0,41.012906569312506,27161168.0112,4.160453325380242,8.148036481495442,10.810000000000002,28.464999999999996,50.81436983038172
2026-01-12,139.69,148.74,137.74,137.87,19125895.561,2026-01-18 23:59:59.999,2738077188.96158,8498573,9339000.332,1337233730.63494,0,41.13803527214968,25938700.107499998,-1.3099498926270492,7.986060694061274,11.0,27.3815,48.8290877789971
2026-01-19,137.87,137.87,117.15,118.85,18870633.993,2026-01-25 23:59:59.999,2407478100.85361,7996416,9486365.07,1208615898.77086,0,41.6326642857062,25683742.642300002,-13.795604555015606,17.68672641912078,20.72,27.476,50.27051594301991
2026-01-26,118.85,128.34,96.4,100.79,27653398.525,2026-02-01 23:59:59.999,3147791872.78008,12145485,13598148.071,1548826579.41986,0,40.04006084700148,25404011.9593,-15.195624737063518,33.132780082987544,31.939999999999998,26.872500000000002,49.173514997466306
2026-02-02,100.78,106.12,67.5,86.99,45415609.576,2026-02-08 23:59:59.999,4043118011.266,19571691,22096959.793,1968854819.9416,0,38.562747291709044,26528214.93965,-13.69183450739162,57.214814814814815,38.620000000000005,27.6355,48.654988888836144
2026-02-09,86.99,91.26,76.6,86.16,23652090.845,2026-02-15 23:59:59.999,1985286644.75601,8831186,11572598.162,970760913.91147,0,38.36464794024508,26190988.81435,-0.9541326589263099,19.138381201044403,14.66000000000001,26.0605,48.928436127863186
2026-02-16,86.15,87.69,79.61,82.79,19654447.353,2026-02-22 23:59:59.999,1648831117.02778,6299195,9714535.113,814844219.6344099,0,35.215253913011885,25959886.5125,-3.9113277623026854,10.149478708704935,8.079999999999998,24.818000000000005,49.42665107048762
2026-02-23,82.8,82.85,77.49,78.09,1181063.597,2026-03-01 23:59:59.999,93365327.48545,391748,560461.734,44279558.74277,0,34.571491617105316,24160844.16205,-5.677014132141567,6.917021551167893,5.359999999999999,21.636000000000003,47.45398430902617
